iter	Passed	Remaining
0	25	7549
1	51	7737
2	72	7175
3	92	6817
4	111	6549
5	131	6454
6	154	6465
7	176	6433
8	195	6336
9	216	6277
10	237	6249
11	257	6184
12	278	6153
13	299	6115
14	317	6037
15	338	6011
16	356	5931
17	377	5911
18	395	5850
19	417	5844
20	439	5844
21	457	5784
22	477	5754
23	496	5714
24	516	5682
25	536	5657
26	558	5642
27	580	5643
28	600	5611
29	622	5602
30	642	5571
31	661	5542
32	680	5508
33	702	5492
34	721	5462
35	739	5420
36	760	5403
37	778	5367
38	799	5350
39	818	5321
40	836	5281
41	854	5252
42	874	5228
43	894	5204
44	912	5171
45	931	5141
46	952	5129
47	972	5107
48	995	5099
49	1081	5406
50	1107	5405
51	1126	5373
52	1146	5344
53	1164	5306
54	1184	5275
55	1204	5249
56	1222	5213
57	1243	5187
58	1264	5166
59	1284	5138
60	1304	5111
61	1323	5079
62	1340	5043
63	1358	5010
64	1380	4989
65	1398	4958
66	1418	4931
67	1438	4907
68	1457	4879
69	1479	4859
70	1499	4834
71	1515	4798
72	1536	4776
73	1554	4746
74	1573	4719
75	1589	4685
76	1608	4658
77	1626	4630
78	1647	4608
79	1667	4585
80	1685	4555
81	1706	4535
82	1721	4501
83	1743	4482
84	1760	4454
85	1781	4433
86	1803	4416
87	1823	4392
88	1842	4368
89	1863	4347
90	1884	4327
91	1905	4307
92	1925	4286
93	1945	4263
94	1965	4241
95	1985	4219
96	2004	4194
97	2025	4174
98	2046	4155
99	2067	4134
100	2087	4113
101	2103	4082
102	2122	4059
103	2143	4040
104	2161	4013
105	2182	3994
106	2200	3968
107	2215	3937
108	2229	3907
109	2249	3885
110	2266	3858
111	2286	3837
112	2303	3811
113	2324	3792
114	2343	3769
115	2358	3741
116	2377	3718
117	2395	3694
118	2413	3670
119	2432	3648
120	2451	3626
121	2469	3602
122	2488	3581
123	2508	3560
124	2528	3540
125	2548	3519
126	2568	3499
127	2585	3474
128	2604	3452
129	2625	3433
130	2643	3410
131	2662	3388
132	2680	3366
133	2700	3345
134	2720	3325
135	2742	3307
136	2763	3288
137	2781	3265
138	2799	3243
139	2817	3220
140	2838	3200
141	2858	3180
142	2877	3158
143	2897	3139
144	2917	3118
145	2937	3098
146	2956	3077
147	2973	3053
148	2994	3034
149	3013	3013
150	3035	2995
151	3054	2974
152	3071	2951
153	3090	2929
154	3108	2907
155	3125	2885
156	3145	2864
157	3163	2843
158	3179	2819
159	3197	2797
160	3213	2774
161	3233	2754
162	3254	2735
163	3273	2714
164	3292	2693
165	3311	2673
166	3330	2652
167	3352	2633
168	3371	2613
169	3389	2591
170	3406	2569
171	3423	2547
172	3445	2529
173	3467	2511
174	3485	2489
175	3504	2469
176	3525	2449
177	3543	2428
178	3561	2407
179	3579	2386
180	3598	2365
181	3614	2343
182	3632	2322
183	3651	2302
184	3675	2284
185	3697	2265
186	3715	2245
187	3736	2225
188	3758	2207
189	3776	2186
190	3798	2167
191	3818	2147
192	3838	2128
193	3857	2107
194	3878	2088
195	3894	2066
196	3912	2045
197	3933	2026
198	3951	2005
199	3970	1985
200	3990	1965
201	4011	1946
202	4030	1926
203	4052	1907
204	4071	1886
205	4093	1867
206	4111	1847
207	4130	1827
208	4149	1806
209	4168	1786
210	4187	1766
211	4208	1746
212	4225	1725
213	4246	1706
214	4266	1686
215	4285	1666
216	4306	1647
217	4325	1626
218	4345	1607
219	4364	1586
220	4385	1567
221	4405	1547
222	4421	1526
223	4440	1506
224	4459	1486
225	4480	1466
226	4500	1447
227	4521	1427
228	4542	1408
229	4562	1388
230	4583	1369
231	4602	1348
232	4621	1328
233	4644	1309
234	4663	1289
235	4684	1270
236	4705	1250
237	4724	1230
238	4743	1210
239	4764	1191
240	4786	1171
241	4808	1152
242	4828	1132
243	4850	1113
244	4870	1093
245	4893	1074
246	4912	1054
247	4932	1034
248	4953	1014
249	4974	994
250	4996	975
251	5018	955
252	5040	936
253	5061	916
254	5080	896
255	5099	876
256	5118	856
257	5139	836
258	5160	816
259	5180	797
260	5201	777
261	5221	757
262	5243	737
263	5263	717
264	5284	697
265	5302	677
266	5323	657
267	5345	638
268	5365	618
269	5384	598
270	5405	578
271	5426	558
272	5446	538
273	5468	518
274	5490	499
275	5512	479
276	5534	459
277	5555	439
278	5576	419
279	5599	399
280	5619	379
281	5640	360
282	5662	340
283	5685	320
284	5705	300
285	5728	280
286	5749	260
287	5768	240
288	5791	220
289	5812	200
290	5837	180
291	5865	160
292	5887	140
293	5911	120
294	5935	100
295	5958	80
296	5980	60
297	6003	40
298	6025	20
299	6050	0
