iter	Passed	Remaining
0	8	8820
1	17	8792
2	25	8519
3	33	8377
4	41	8341
5	50	8308
6	58	8271
7	66	8218
8	74	8157
9	82	8185
10	90	8129
11	99	8157
12	107	8161
13	115	8166
14	124	8145
15	132	8122
16	140	8105
17	148	8102
18	156	8095
19	164	8082
20	173	8071
21	181	8061
22	189	8061
23	198	8054
24	206	8040
25	214	8049
26	223	8058
27	232	8079
28	241	8090
29	250	8096
30	258	8085
31	267	8086
32	275	8071
33	283	8057
34	292	8060
35	300	8050
36	308	8039
37	317	8033
38	325	8017
39	333	8005
40	342	8005
41	350	7996
42	358	7981
43	366	7965
44	374	7951
45	382	7934
46	391	7933
47	399	7924
48	407	7908
49	415	7903
50	424	7893
51	433	7907
52	443	7920
53	452	7921
54	460	7920
55	469	7910
56	477	7894
57	485	7877
58	492	7862
59	501	7859
60	510	7854
61	518	7841
62	526	7827
63	534	7811
64	543	7811
65	551	7800
66	559	7785
67	567	7774
68	575	7760
69	583	7748
70	591	7743
71	600	7739
72	608	7727
73	616	7715
74	624	7706
75	632	7692
76	641	7687
77	650	7692
78	664	7744
79	672	7737
80	680	7721
81	688	7709
82	696	7695
83	705	7688
84	714	7687
85	722	7676
86	730	7662
87	738	7649
88	746	7638
89	754	7626
90	762	7614
91	770	7602
92	778	7590
93	786	7579
94	794	7571
95	803	7569
96	812	7561
97	820	7549
98	828	7539
99	837	7536
100	845	7526
101	854	7522
102	863	7523
103	872	7513
104	880	7502
105	888	7493
106	897	7488
107	905	7478
108	914	7472
109	923	7468
110	931	7460
111	940	7454
112	948	7441
113	956	7430
114	964	7423
115	972	7414
116	981	7405
117	989	7393
118	997	7384
119	1005	7374
120	1013	7362
121	1021	7352
122	1029	7342
123	1038	7336
124	1046	7328
125	1055	7321
126	1064	7317
127	1072	7309
128	1081	7300
129	1090	7294
130	1098	7286
131	1106	7275
132	1114	7265
133	1123	7257
134	1131	7249
135	1139	7240
136	1147	7228
137	1155	7219
138	1163	7208
139	1172	7199
140	1180	7190
141	1188	7180
142	1196	7171
143	1204	7162
144	1213	7155
145	1221	7146
146	1230	7141
147	1239	7134
148	1248	7130
149	1257	7124
150	1266	7118
151	1275	7113
152	1283	7103
153	1291	7094
154	1299	7086
155	1308	7079
